player_id,player_name,sex
aakarshi_kashyap,Aakarshi KASHYAP,female
akane_yamaguchi,Akane YAMAGUCHI,female
an_se_young,An Se Young,female
anders_antonsen,Anders ANTONSEN,male
anthony_sinisuka_ginting,Anthony Sinisuka GINTING,male
busanan_ongbamrungphan,Busanan ONGBAMRUNGPHAN,female
carolina_marin,Carolina MARIN,female
chen_long,CHEN Long,male
chen_yufei,CHEN Yufei,female
chico_aura_dwi_wardoyo,Chico Aura DWI WARDOYO,male
chou_tien_chen,CHOU Tien Chen,male
evgeniya_kosetskaya,Evgeniya KOSETSKAYA,female
gregoria_mariska_tunjung,Gregoria Mariska TUNJUNG,female
hans_kristian_solberg_vittinghus,Hans-Kristian Solberg VITTINGHUS,male
he_bingjiao,HE Bingjiao,female
jonatan_christie,Jonatan CHRISTIE,male
kenta_nishimoto,Kenta NISHIMOTO,male
kento_momota,Kento MOMOTA,male
kidambi_srikanth,KIDAMBI Srikanth,male
kodai_naraoka,Kodai NARAOKA,male
kunlavut_vitidsarn,Kunlavut VITIDSARN,male
lakshya_sen,Lakshya SEN,male
lee_cheuk_yiu,LEE Cheuk Yiu,male
lee_zii_jia,LEE Zii Jia,male
li_shi_feng,LI Shi Feng,male
liew_daren,LIEW Daren,male
loh_kean_yew,LOH Kean Yew,male
lu_guang_zu,LU Guang Zu,male
mia_blichfeldt,Mia BLICHFELDT,female
michelle_li,Michelle LI,female
neslihan_yigit,Neslihan YIGIT,female
ng_ka_long_angus,NG Ka Long Angus,male
pornpawee_chochuwong,Pornpawee CHOCHUWONG,female
prannoy_h_s,PRANNOY H. S.,male
pusarla_v_sindhu,PUSARLA V. Sindhu,female
rasmus_gemke,Rasmus GEMKE,male
ratchanok_intanon,Ratchanok INTANON,female
sameer_verma,Sameer VERMA,male
shi_yuqi,SHI Yuqi,male
supanida_katethong,Supanida KATETHONG,female
viktor_axelsen,Viktor AXELSEN,male
wang_zhi_yi,WANG Zhi Yi,female
zhao_jun_peng,ZHAO Jun Peng,male
