Frame,Visibility,X,Y
0,1,240,81
1,1,244,73
2,1,244,70
3,1,245,69
4,1,242,67
5,1,245,68
6,1,244,69
7,1,244,70
8,1,245,68
9,1,246,68
10,1,242,71
11,1,240,73
12,1,241,77
13,1,241,80
14,1,241,83
15,1,247,84
16,1,269,83
17,1,271,64
18,1,264,56
19,1,269,59
20,1,267,55
21,1,266,54
22,1,262,51
23,1,264,48
24,1,265,44
25,1,267,42
26,1,269,42
27,1,269,44
28,1,263,50
29,1,261,49
30,1,274,57
31,1,263,66
32,1,240,81
33,1,244,73
34,1,244,70
35,1,245,69
36,1,242,67
37,1,245,68
38,1,244,69
39,1,244,70
40,1,245,68
41,1,246,68
42,1,242,71
43,1,240,73
44,1,241,77
45,1,241,80
46,1,241,83
47,1,247,84
48,1,240,81
49,1,244,73
50,1,244,70
51,1,245,69
52,1,242,67
53,1,245,68
54,1,244,69
55,1,244,70
56,1,245,68
57,1,246,68
58,1,242,71
59,1,240,73
60,1,241,77
61,1,241,80
62,1,241,83
63,1,247,84
64,1,240,81
65,1,244,73
66,1,244,70
67,1,245,69
68,1,242,67
69,1,245,68
70,1,244,69
71,1,244,70
72,1,245,68
73,1,246,68
74,1,242,71
75,1,240,73
76,1,241,77
77,1,241,80
78,1,241,83
79,1,247,84
80,1,240,81
81,1,244,73
82,1,244,70
83,1,245,69
84,1,242,67
85,1,245,68
86,1,244,69
87,1,244,70
88,1,245,68
89,1,246,68
90,1,242,71
91,1,240,73
92,1,241,77
93,1,241,80
94,1,241,83
95,1,247,84
96,1,240,81
97,1,244,73
98,1,244,70
99,1,245,69
100,1,242,67
101,1,245,68
102,1,244,69
103,1,244,70
104,1,245,68
105,1,246,68
106,1,242,71
107,1,240,73
108,1,241,77
109,1,241,80
110,1,241,83
111,1,247,84
112,1,240,81
113,1,244,73
114,1,244,70
115,1,245,69
116,1,242,67
117,1,245,68
118,1,244,69
119,1,244,70
120,1,245,68
121,1,246,68
122,1,242,71
123,1,240,73
124,1,241,77
125,1,241,80
126,1,241,83
127,1,247,84
128,1,240,81
129,1,244,73
130,1,244,70
131,1,245,69
132,1,242,67
133,1,245,68
134,1,244,69
135,1,244,70
136,1,245,68
137,1,246,68
