Frame,Visibility,X,Y
0,1,220,79
1,1,183,61
2,1,156,46
3,1,156,68
4,1,144,61
5,1,150,65
6,1,143,56
7,1,143,53
8,1,140,50
9,1,142,51
10,1,142,51
11,1,157,35
12,1,212,6
13,1,239,6
14,0,0,0
15,1,322,3
16,1,317,39
17,1,308,125
18,1,313,266
19,1,273,270
20,1,149,283
21,1,114,278
22,1,94,231
23,1,74,201
24,1,76,188
25,1,72,182
26,1,71,198
27,1,77,198
28,1,90,195
29,1,119,184
30,1,160,203
31,1,152,198
32,1,219,241
33,1,212,188
34,1,187,166
35,1,180,149
36,1,187,111
37,1,183,85
38,1,182,66
39,1,183,49
40,1,186,32
41,1,189,27
42,1,190,67
43,1,184,69
44,1,180,73
45,1,182,68
46,1,182,90
47,1,219,95
48,1,314,201
49,1,318,215
50,1,306,213
51,1,315,209
52,1,317,215
53,1,317,220
54,1,318,223
55,1,321,226
56,1,323,224
57,1,321,224
58,1,320,226
59,1,328,224
60,1,324,222
61,1,329,227
62,1,345,224
63,1,326,214
64,1,240,81
65,1,244,73
66,1,244,70
67,1,245,69
68,1,242,67
69,1,245,68
70,1,244,69
71,1,244,70
72,1,245,68
73,1,246,68
74,1,242,71
75,1,240,73
76,1,241,77
77,1,241,80
78,1,241,83
79,1,247,84
80,1,240,81
81,1,249,71
82,1,248,77
83,1,253,75
84,1,258,36
85,1,250,31
86,1,262,37
87,1,257,42
88,1,253,45
89,1,247,48
90,1,246,49
91,1,52,10
92,1,252,59
93,1,235,63
94,1,215,70
95,1,44,41
96,1,231,22
97,1,189,225
98,1,187,226
99,1,58,18
100,1,58,18
101,1,62,19
102,1,246,65
103,1,90,51
104,1,191,212
105,1,192,211
106,1,186,204
107,1,188,195
108,1,89,59
109,1,246,49
110,1,212,239
111,1,89,58
112,1,245,34
113,1,243,32
114,1,242,28
115,1,243,28
116,1,241,25
117,1,245,29
118,1,246,29
119,1,246,26
120,1,244,24
121,1,233,22
122,1,214,19
123,1,189,21
124,1,173,18
125,1,164,21
126,1,165,23
127,1,140,52
128,1,164,75
129,1,163,68
130,1,164,64
131,1,165,64
132,1,164,61
