Frame,Visibility,X,Y
0,1,240,81
1,1,244,73
2,1,244,70
3,1,245,69
4,1,242,67
5,1,245,68
6,1,244,69
7,1,244,70
8,1,245,68
9,1,246,68
10,1,242,71
11,1,240,73
12,1,241,77
13,1,241,80
14,1,241,83
15,1,247,84
16,1,166,91
17,1,143,96
18,1,137,109
19,1,119,97
20,1,101,78
21,1,97,71
22,1,90,69
23,1,93,67
24,1,76,64
25,1,76,64
26,1,76,64
27,1,76,64
28,1,76,64
29,1,76,64
30,1,76,64
31,1,76,64
32,1,96,67
33,1,77,64
34,1,78,64
35,1,77,64
36,1,77,64
37,1,77,64
38,1,77,64
39,1,77,64
40,1,100,68
41,1,96,72
42,1,98,72
43,1,112,73
44,1,129,91
45,1,137,102
46,1,154,96
47,1,191,100
48,1,240,81
49,1,244,73
50,1,244,70
51,1,245,69
52,1,242,67
53,1,245,68
54,1,244,69
55,1,244,70
56,1,245,68
57,1,246,68
58,1,242,71
59,1,240,73
60,1,241,77
61,1,241,80
62,1,241,83
63,1,247,84
64,1,240,81
65,1,244,73
66,1,244,70
67,1,245,69
68,1,242,67
69,1,245,68
70,1,244,69
71,1,244,70
72,1,245,68
73,1,246,68
74,1,242,71
75,1,240,73
76,1,241,77
77,1,241,80
78,1,241,83
79,1,247,84
80,1,246,125
81,1,246,124
82,1,246,123
83,1,245,122
84,1,243,124
85,1,245,122
86,1,246,120
87,1,242,122
88,1,241,117
89,1,250,107
90,1,251,102
91,1,243,88
92,1,241,77
93,1,241,80
94,1,241,83
95,1,247,84
96,1,274,175
97,1,277,184
98,1,270,180
99,1,272,198
100,1,265,201
101,1,267,199
102,1,267,201
103,1,269,202
104,1,271,201
105,1,273,201
106,1,273,202
107,1,274,202
108,1,272,201
109,1,272,201
110,1,272,201
111,1,271,201
112,1,240,81
113,1,244,73
114,1,244,70
115,1,245,69
116,1,242,67
117,1,245,68
118,1,244,69
119,1,244,70
120,1,245,68
121,1,246,68
122,1,242,71
123,1,240,73
124,1,241,77
125,1,241,80
126,1,241,83
127,1,247,84
128,1,232,124
129,1,232,124
130,1,232,124
131,1,232,122
132,1,231,123
133,1,230,123
134,1,232,124
135,1,234,124
136,1,234,125
137,1,234,124
