clip_stem,vid,match,set_id,rally,ball_round,raw_type_en,player_side,split_v2,split_bst_baseline,aroundhead,backhand,frame_num,shuttle_start_f,shuttle_end_f,clip_start_frame,clip_end_frame
1_1_1_1,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,1,1,short_service,Bottom,train,train,0.0,1.0,11496,11484,11539,11446,11657
1_1_1_2,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,1,2,clear,Top,train,train,0.0,1.0,11582,11545,11594,11446,11657
1_1_2_1,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,2,1,short_service,Bottom,train,train,0.0,1.0,11881,11869,11906,11831,12040
1_1_2_2,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,2,2,push,Top,train,train,0.0,1.0,11900,11881,11927,11831,12040
1_1_2_3,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,2,3,smash,Bottom,train,train,0.0,0.0,11921,11900,11940,11831,12040
1_1_2_4,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,2,4,return_net,Top,train,train,0.0,1.0,11934,11921,11958,11831,12040
1_1_2_5,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,2,5,rush,Bottom,train,train,0.0,0.0,11952,11934,11971,11831,12040
1_1_2_6,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,2,6,drive,Top,train,train,0.0,0.0,11965,11952,11977,11831,12040
1_1_3_1,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,3,1,short_service,Bottom,train,train,0.0,1.0,12298,12286,12319,12248,13017
1_1_3_2,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,3,2,net_shot,Top,train,train,0.0,1.0,12313,12298,12337,12248,13017
1_1_3_3,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,3,3,lob,Bottom,train,train,0.0,0.0,12331,12313,12368,12248,13017
1_1_3_4,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,3,4,smash,Top,train,train,0.0,0.0,12362,12331,12378,12248,13017
1_1_3_5,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,3,5,return_net,Bottom,train,train,0.0,1.0,12372,12362,12406,12248,13017
1_1_3_6,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,3,6,lob,Top,train,train,0.0,1.0,12400,12372,12435,12248,13017
1_1_3_7,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,3,7,wrist_smash,Bottom,train,train,0.0,0.0,12429,12400,12452,12248,13017
1_1_3_8,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,3,8,return_net,Top,train,train,0.0,0.0,12446,12429,12471,12248,13017
1_1_3_9,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,3,9,cross_court_net_shot,Bottom,train,train,0.0,0.0,12465,12446,12498,12248,13017
1_1_3_10,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,3,10,net_shot,Top,train,train,0.0,1.0,12492,12465,12522,12248,13017
1_1_3_11,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,3,11,lob,Bottom,train,train,0.0,1.0,12516,12492,12559,12248,13017
1_1_3_12,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,3,12,wrist_smash,Top,train,train,0.0,0.0,12560,12523,12583,12248,13017
1_1_3_13,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,3,13,return_net,Bottom,train,train,0.0,1.0,12577,12560,12608,12248,13017
1_1_3_14,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,3,14,lob,Top,train,train,0.0,1.0,12602,12577,12637,12248,13017
1_1_3_15,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,3,15,passive_drop,Bottom,train,train,0.0,0.0,12631,12602,12661,12248,13017
1_1_3_16,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,3,16,drive,Top,train,train,0.0,0.0,12655,12631,12676,12248,13017
1_1_3_17,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,3,17,defensive_return_drive,Bottom,train,train,0.0,1.0,12670,12655,12708,12248,13017
1_1_3_18,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,3,18,clear,Top,train,train,0.0,0.0,12702,12670,12741,12248,13017
1_1_3_19,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,3,19,clear,Bottom,train,train,0.0,0.0,12735,12702,12772,12248,13017
1_1_3_20,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,3,20,wrist_smash,Top,train,train,0.0,0.0,12766,12735,12789,12248,13017
1_1_3_21,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,3,21,return_net,Bottom,train,train,0.0,1.0,12783,12766,12816,12248,13017
1_1_3_22,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,3,22,lob,Top,train,train,0.0,1.0,12810,12783,12853,12248,13017
1_1_3_23,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,3,23,clear,Bottom,train,train,0.0,0.0,12847,12810,12881,12248,13017
